ticker,pe_ratio,price_to_book,roe_pct,net_margin_pct,interest_cover,dividend_yield_pct,dividend_years,payout_ratio_pct,earnings_growth_pct,revenue_growth_pct,data_completeness_pct,governance_flag,financial_period,source_name,source_type,source_url,verified_on
KE0000000315,4.050480769230769,,,33.63746868833016,,8.30860534124629,4.0,33.65384615384615,10.645082962363416,8.35893005695271,70.0,0,FY2025,KCB Group Plc 2025 Integrated Report & Financial Statements,Audited annual report,https://kcbgroup.com/download/eyJpdiI6ImVuSkVNUTJtQTJEYjFtZlRaUmdXMFE9PSIsInZhbHVlIjoiRzZrT2loYlFIbkdOUmgwT1d1STM2Q0p0MnMzWjI3eHQrbkNzK041LzRVblRlM1NNd01WVDBNWFBtZDhYSGZ6OEVpWG5YOEl1N3VySTFtUTdDOWhwOTBvSWdSUHVhckMwdndlUXpsdjJnMmM9IiwibWFjIjoiMGIzOGQ1MThkZDkyMjc1YzA2ZmUyZDk0MDFjOTUxMzdmNGM5NzA0N2I5ZGZkZTFlYWEyYTI4NDI1ZGY4NzFjMyIsInRhZyI6IiJ9?signature=8e8e63829043341c6d39e5f3ed28d3a6c0505b017a1be2991342876373d8f567,2026-09-17
KE0000000554,5.039267015706806,,26.7,34.68075333027102,,5.974025974025974,5.0,30.104712041884813,55.0,12.0,80.0,0,FY2025,Equity Group Holdings Plc FY2025 Investor Booklet / Results,Audited annual results,https://equitygroupholdings.com/wp-content/uploads/2026/03/Equity-Group-Holdings-PLC-FY-2025-Investor-Booklet.pdf,2026-09-17
KE1000001568,7.439024390243902,,,32.111819644369064,,7.451564828614011,5.0,55.432372505543235,15.075341602888729,12.211439902669149,70.0,0,FY2025,Co-operative Bank of Kenya 2025 Integrated Report,Audited annual report,https://www.co-opbank.co.ke/wp-content/uploads/2026/05/2025-Co-op-Bank-Integrated-Report-Web.pdf,2026-09-17
KE0000000406,6.161971830985916,,,,,6.571428571428571,5.0,40.49295774647887,6.942783005948638,,50.0,0,FY2025,NCBA Group Plc 2025 Integrated Annual Report,Audited annual report,https://ncbagroup.com/wp-content/uploads/2026/06/NCBA-Group-Plc-Annual-2025-Integrated-Report.pdf,2026-09-17
KE0000000091,8.105187319884726,1.386082499630378,17.64,35.620991405053104,,7.946666666666667,5.0,64.4092219020173,0.014581510644502771,-3.099916966509826,90.0,0,FY2025,Stanbic Holdings Plc Integrated Report 2025,Audited annual report,https://www.stanbicbank.co.ke/static_file/Kenya/Downloadable%20files/Stanbic%20Holdings%20PLC/Annual%20Reports/2025/Stanbic_Holdings_Annual_Integrated_Report_2025.pdf,2026-09-17
KE1000001402,20.17241379310345,,,17.957471901049914,4.976235568691593,,5.0,,10.806185576829964,11.22965071690373,60.0,0,FY2025,Safaricom PLC FY25 Results Booklet,Audited annual results,https://www.safaricom.co.ke/images/Downloads/FY25-Earnings-Booklet_May-9-2025.pdf,2026-09-17
KE0000000547,,,3.72,18.68351278120432,,8.49056603773585,5.0,,54.0,-0.35348242357496845,60.0,0,FY2025,KenGen Audited Results for Year Ended 30 June 2025,Audited annual results,https://www.kengen.co.ke/images/KenGen_Financial_Results_2025.pdf,2026-09-17
KE0000000067,7.4052132701421804,,22.8,37.29641693811075,,6.559999999999999,5.0,48.578199052132696,10.0,-2.0,80.0,0,FY2025,Absa Bank Kenya PLC 2025 Integrated Report,Audited annual report,https://annualreport.cma.or.ke/media/BANKING/Barclays%20Bank/documents/2025.pdf,2026-09-17
KE0000000216,23.91395154553049,,30.873587365064097,9.471158698977412,4.296125618706264,2.7947598253275108,5.0,66.83375104427736,12.217111315547378,3.754098492721399,90.0,0,FY2025,EABL Condensed Audited Results for Year Ended 30 June 2025,Audited annual results,https://www.eabl.com/~/media/Files/E/eabl/documents/investor/financial-result/2025/eabl-f25-full-year-2025-financial-results-press-release.pdf,2026-09-17
KE0000000349,1.7503987240829346,,24.883930251361562,11.157625920605604,8.366970532117872,4.555808656036446,5.0,7.974481658692185,-18.66023936170213,-5.122358560772573,90.0,0,FY2025,Kenya Power Audited Financial Results for Year Ended 30 June 2025,Audited annual results,https://kplc.co.ke/storage/01K6Z8XAY9BAVJP0EQY2RYRS13.pdf,2026-09-17
KE0000000075,10.50324056423942,,33.60575780542864,22.610418103448275,561.5532266546466,12.704174228675136,5.0,133.43499809378574,17.00165277458698,-10.0,90.0,0,FY2025,BAT Kenya Combined Annual and Sustainability Report 2025,Audited annual report,https://www.batkenya.com/content/dam/endmarkets/ke/en/download/investors-and-reporting/annual-reports/BATK_Combined_Annual_and_Sustainability_Report_2025.pdf,2026-09-17
KE0000000273,5.14375,,10.395550983878346,,,3.6452004860267313,5.0,18.75,17.553121984081994,,60.0,0,FY2025,Jubilee Holdings 2025 Annual Integrated Report,Audited annual report,https://jubileeinsurance.com/group/wp-content/uploads/2026/06/Jubilee-Holdings-2025-Annual-Integrated-Report.pdf,2026-09-17
KE0000000158,5.416047548291234,,,,,4.938271604938271,5.0,26.74591381872214,23.092101475445016,,50.0,0,FY2025,Diamond Trust Bank Kenya 2025 Integrated Report and Financial Statements,Audited annual report,https://dtbk.dtbafrica.com/reports,2026-09-17
KE0000000125,7.36793327154773,,,32.88260238512961,,4.716981132075472,5.0,34.75440222428175,24.474941178013466,,60.0,0,FY2025,I&M Group PLC Annual Integrated Report and Financial Statements 2025,Audited annual report,https://www.imbankgroup.com/wp-content/uploads/2026/05/2025-INTEGRATED-REPORT-TPALAZEDIT8.pdf,2026-09-17
KE0000000463,13.434782608695652,,,2.086995912395932,,,5.0,,45.95,-8.92,50.0,0,FY2025,TotalEnergies Marketing Kenya Annual Report & Financial Statements 2025,Audited annual report,https://totalenergies.ke/about-us/shareholder-information/financials,2026-09-17
KE2000002192,8.715596330275229,,,13.205892304626035,,,,,9.89852461924756,10.910054106408738,40.0,0,FY2025,Britam Holdings PLC 2025 Integrated Report & Audited Financial Statements,Audited annual report,https://www.britam.com/images/FormsAndDownloads/Britam%20%20Integrated%20Report%20%20and%20Audited%20Financial%20Statements_final_2025.pdf,2026-09-17
KE0000000604,6.8999999999999995,,7.613412228796844,30.634920634920636,,3.6231884057971016,5.0,25.0,-12.9,-11.1,80.0,0,FY2025,Kenya Re Integrated Annual Report 2025,Audited annual report,https://kenyare.co.ke/resources/investor-relations/kenya-re-integrated-annual-report-2025,2026-09-17
KE0000000117,10.355329949238579,,,47.76122103959807,,4.901960784313726,5.0,50.76142131979695,18.930976171446055,1.6229374514534256,70.0,0,FY2025,Carbacid Investments plc 2025 Annual Report,Audited annual report,https://carbacid.com/documents/87/2025_Annual_Report.pdf,2026-09-17
KE0000000265,9.121951219512196,0.27939638428208574,,,,1.7112299465240641,5.0,15.609756097560979,,,50.0,0,FY2025,Centum Integrated Report and Financial Statements FY2025,Audited annual report,https://centum.co.ke/wp-content/uploads/2025/09/Centum-Integrated-Report-fy25.pdf,2026-09-17
